ds,y,promo,dow
2024-06-06,1194.0,0,3
2024-06-07,811.15,0,4
2024-06-08,995.92,1,5
2024-06-09,1128.39,1,6
2024-06-10,1085.44,0,0
2024-06-11,1254.41,0,1
2024-06-12,1335.38,0,2
2024-06-13,1189.79,0,3
2024-06-14,1149.97,0,4
2024-06-15,1078.06,1,5
2024-06-16,1104.69,1,6
2024-06-17,1172.52,0,0
2024-06-18,1125.02,0,1
2024-06-19,1353.75,0,2
2024-06-20,1214.4,0,3
2024-06-21,1013.4,0,4
2024-06-22,1283.11,1,5
2024-06-23,1107.25,1,6
2024-06-24,1313.59,0,0
2024-06-25,1238.92,0,1
2024-06-26,1169.91,0,2
2024-06-27,1193.92,0,3
2024-06-28,903.27,0,4
2024-06-29,1027.33,1,5
2024-06-30,1187.36,1,6
2024-07-01,1145.79,0,0
2024-07-02,1181.9,0,1
2024-07-03,1379.0,0,2
2024-07-04,1824.36,2,3
2024-07-05,1137.17,0,4
2024-07-06,1133.6,1,5
2024-07-07,1262.16,1,6
2024-07-08,884.84,0,0
2024-07-09,1195.04,0,1
2024-07-10,1176.3,0,2
2024-07-11,1164.27,0,3
2024-07-12,919.21,0,4
2024-07-13,1042.44,1,5
2024-07-14,1292.5,1,6
2024-07-15,1038.91,0,0
2024-07-16,1251.23,0,1
2024-07-17,1222.86,0,2
2024-07-18,1143.08,0,3
2024-07-19,960.2,0,4
2024-07-20,1082.86,1,5
2024-07-21,1199.89,1,6
2024-07-22,1204.12,0,0
2024-07-23,1224.41,0,1
2024-07-24,1288.74,0,2
2024-07-25,1004.22,0,3
2024-07-26,934.72,0,4
2024-07-27,1111.91,1,5
2024-07-28,1149.97,1,6
2024-07-29,1044.82,0,0
2024-07-30,1266.49,0,1
2024-07-31,1263.4,0,2
2024-08-01,1224.02,0,3
2024-08-02,957.27,0,4
2024-08-03,963.37,1,5
2024-08-04,1078.2,1,6
2024-08-05,715.89,0,0
2024-08-06,1201.6,0,1
2024-08-07,835.11,0,2
2024-08-08,917.45,0,3
2024-08-09,959.49,0,4
2024-08-10,1029.21,1,5
2024-08-11,911.13,1,6
2024-08-12,924.28,0,0
2024-08-13,1287.1,0,1
2024-08-14,1138.48,0,2
2024-08-15,1301.22,0,3
2024-08-16,901.46,0,4
2024-08-17,1006.53,1,5
2024-08-18,1173.59,1,6
2024-08-19,996.57,0,0
2024-08-20,1038.01,0,1
2024-08-21,1164.34,0,2
2024-08-22,1062.03,0,3
2024-08-23,754.07,0,4
2024-08-24,926.38,1,5
2024-08-25,924.23,1,6
2024-08-26,1065.52,0,0
2024-08-27,1131.57,0,1
2024-08-28,1137.15,0,2
2024-08-29,1045.33,0,3
2024-08-30,903.48,0,4
2024-08-31,1002.07,1,5
2024-09-01,887.23,1,6
2024-09-02,860.33,0,0
2024-09-03,1230.25,0,1
2024-09-04,1116.14,0,2
2024-09-05,906.48,0,3
2024-09-06,918.04,0,4
2024-09-07,977.51,1,5
2024-09-08,825.26,1,6
2024-09-09,980.77,0,0
2024-09-10,1186.96,0,1
2024-09-11,1188.71,0,2
2024-09-12,1105.56,0,3
2024-09-13,727.72,0,4
2024-09-14,957.57,1,5
2024-09-15,941.74,1,6
2024-09-16,904.91,0,0
2024-09-17,1196.12,0,1
2024-09-18,1295.16,0,2
2024-09-19,1218.06,0,3
2024-09-20,996.19,0,4
2024-09-21,909.41,1,5
2024-09-22,1003.56,1,6
2024-09-23,1027.35,0,0
2024-09-24,1118.97,0,1
2024-09-25,1158.4,0,2
2024-09-26,1119.4,0,3
2024-09-27,857.49,0,4
2024-09-28,846.04,1,5
2024-09-29,925.82,1,6
2024-09-30,1013.69,0,0
2024-10-01,1107.09,0,1
2024-10-02,1179.6,0,2
2024-10-03,1104.59,0,3
2024-10-04,826.81,0,4
2024-10-05,995.9,1,5
2024-10-06,1006.85,1,6
2024-10-07,828.62,0,0
2024-10-08,1253.14,0,1
2024-10-09,1097.93,0,2
2024-10-10,874.81,0,3
2024-10-11,762.83,0,4
2024-10-12,822.19,1,5
2024-10-13,978.57,1,6
2024-10-14,928.68,0,0
2024-10-15,1079.49,0,1
2024-10-16,1214.55,0,2
2024-10-17,1079.18,0,3
2024-10-18,904.11,0,4
2024-10-19,971.94,1,5
2024-10-20,1042.01,1,6
2024-10-21,751.34,0,0
2024-10-22,1083.1,0,1
2024-10-23,941.22,0,2
2024-10-24,1055.75,0,3
2024-10-25,879.29,0,4
2024-10-26,1044.75,1,5
2024-10-27,1108.76,1,6
2024-10-28,990.52,0,0
2024-10-29,1077.89,0,1
2024-10-30,1216.42,0,2
2024-10-31,1008.3,0,3
2024-11-01,888.83,0,4
2024-11-02,1050.5,1,5
2024-11-03,946.24,1,6
2024-11-04,1060.84,0,0
2024-11-05,1205.96,0,1
2024-11-06,1082.97,0,2
2024-11-07,1169.29,0,3
2024-11-08,969.89,0,4
2024-11-09,976.05,1,5
2024-11-10,940.07,1,6
2024-11-11,906.16,0,0
2024-11-12,1096.51,0,1
2024-11-13,1245.01,0,2
2024-11-14,988.87,0,3
2024-11-15,956.55,0,4
2024-11-16,857.76,1,5
2024-11-17,1012.25,1,6
2024-11-18,1016.49,0,0
2024-11-19,1408.45,0,1
2024-11-20,1066.9,0,2
2024-11-21,1245.72,0,3
2024-11-22,942.08,0,4
2024-11-23,1040.99,1,5
2024-11-24,1062.69,1,6
2024-11-25,1064.89,0,0
2024-11-26,1163.65,0,1
2024-11-27,1365.3,0,2
2024-11-28,1068.32,0,3
2024-11-29,1055.94,0,4
2024-11-30,955.01,1,5
2024-12-01,1064.6,1,6
2024-12-02,929.34,0,0
2024-12-03,1240.8,0,1
2024-12-04,1380.84,0,2
2024-12-05,1122.82,0,3
2024-12-06,939.76,0,4
2024-12-07,928.9,1,5
2024-12-08,1068.79,1,6
2024-12-09,894.4,0,0
2024-12-10,1121.28,0,1
2024-12-11,1276.4,0,2
2024-12-12,1279.96,0,3
2024-12-13,1257.98,0,4
2024-12-14,1003.68,1,5
2024-12-15,1257.35,1,6
2024-12-16,1095.97,0,0
2024-12-17,1215.45,0,1
2024-12-18,1315.07,0,2
2024-12-19,1172.42,0,3
2024-12-20,1006.35,0,4
2024-12-21,1044.22,1,5
2024-12-22,996.81,1,6
2024-12-23,935.68,0,0
2024-12-24,1314.39,0,1
2024-12-25,1262.69,0,2
2024-12-26,1125.21,0,3
2024-12-27,1014.79,0,4
2024-12-28,1187.71,1,5
2024-12-29,1177.85,1,6
2024-12-30,1043.15,0,0
2024-12-31,1969.58,2,1
